Size;MergeSort;HeapSort;QuickSort;MergeSorted;HeapSorted;QuickSorted
10;86200;2000;1600;73400;5800;1300
20;227700;7600;4200;228100;5500;2600
30;341500;8600;5100;286200;8500;3700
40;387300;12200;7000;376400;12400;5200
50;526300;15800;9000;476200;16800;6200
60;583700;19800;10900;611400;20900;7800
70;932200;23700;16300;711300;25300;8900
80;831600;28600;15100;929100;43300;14400
90;1309400;41100;22000;1102700;43600;14500
100;1244200;45900;24500;1222200;49400;16100
110;1604600;41600;21700;1093600;44300;14300
120;1205900;47200;23700;1180500;48600;15400
130;1389000;50700;26300;1276300;53600;16400
140;4670000;56200;28600;1448600;59400;19100
150;1534800;62200;30900;1523100;64400;19800
160;2110900;83900;41400;1848200;69500;21100
170;2118100;89700;44700;2329100;95600;45300
180;2236700;94900;47400;2681500;128600;33700
190;2373100;109400;49700;2011900;86000;24600
200;2567200;87200;52000;2020600;90700;26100
210;2938100;92400;47700;2272400;97400;27800
220;3093600;181500;94700;3359600;103300;29000
230;6157200;134200;61700;3133300;136600;31900
240;2994200;108700;91700;3347800;118600;32300
250;3172100;125000;58900;2934000;131700;33700
260;4334800;188800;76100;3549200;211500;36400
270;3445000;137500;70300;4588800;237900;45900
280;3377500;220100;81400;4163000;227600;60300
290;4957400;135100;64100;4515300;234400;57700
300;4172600;218700;77900;4986700;216400;53100
310;4727100;146100;68500;4769200;172500;44000
320;9265800;413500;118700;4591800;331100;72400
330;5580200;174700;79300;3894300;184200;47000
340;5446400;622400;342400;9071400;896600;221000
350;5785300;318000;110400;9265400;335900;93200
360;8025700;240500;158500;6040900;222400;63800
370;8138000;325400;189900;6706800;304600;65600
380;6522400;289100;131300;5952800;297300;94200
390;6863900;252900;97200;5245200;334600;72900
400;5638300;228400;97500;5011500;359600;74500
410;5291900;228600;99300;5633700;239700;58500
420;5559700;240900;101600;5659600;246100;59700
430;6257700;320100;134000;6435400;260000;76400
440;6259200;222800;102900;4738600;235600;59900
450;6207900;285100;112100;6432100;348100;76100
460;7810600;352600;145900;7986300;273600;65600
470;7489700;370800;157100;6347600;484100;107200
480;7781500;311700;149300;9809500;364200;137600
490;9210300;294400;127200;12059300;367400;107100
500;17134900;411200;153700;10981700;423300;105000
510;7564400;297900;126100;8037800;441700;98800
520;10120100;561400;190300;10803400;411600;92300
530;9072600;406600;165600;10095100;439700;100300
540;14143700;432700;192200;13532100;371600;86600
550;9573200;396300;166800;9773300;655700;318900
560;8097100;397800;151000;10900800;441100;96000
570;29786400;495500;183500;11434000;498700;110500
580;17194300;382800;146000;12407400;509000;111900
590;14740700;431600;182700;10144500;371400;160400
600;8012700;357100;153000;9292900;393500;87000
610;10112900;602000;303900;9429900;515900;116400
620;13444400;868600;217800;10783600;436500;91300
630;17714700;524000;210400;12919600;1897900;601800
640;13091600;589700;238700;14328500;517300;147800
650;14524500;703900;268000;10942900;511000;119000
660;11292300;420300;180300;10451700;570300;134600
670;15057600;467700;267900;11730700;831100;125300
680;13771600;549200;308900;12416000;976100;116300
690;12873900;1398800;422100;13059300;470500;118500
700;11175800;502200;188500;11447700;707500;163000
710;12848000;449300;193500;10115200;614300;125200
720;21074600;855200;239200;12503400;657100;111300
730;12949600;588800;261600;11537500;686600;154500
740;15135900;453300;191600;25376500;1501100;184000
750;16620600;466700;203400;9803200;538400;271100
760;13151100;740900;300900;12489300;624800;138400
770;11473100;475800;201100;11203600;641300;151700
780;11655800;657200;261700;11896500;602200;122800
790;13114200;671600;297600;16271300;535200;115400
800;12515400;812900;358300;10261100;1594200;116800
810;13439900;623300;455100;10812900;529400;119800
820;13701500;626000;503400;11546000;898600;200100
830;13992800;843600;337000;14468300;600300;122900
840;20007500;610600;294800;14670500;696400;155400
850;18601100;1251200;330800;30333400;851600;162600
860;17930300;761500;343700;14493100;676900;166600
870;17247300;764400;291100;13486600;749900;127700
880;15113900;627900;371300;14337700;781400;214700
890;12945800;573600;251600;11781100;627500;164200
900;13819500;624600;278400;12561100;738200;166300
910;11100600;690400;224500;10581400;543700;124800
920;10378600;523700;228200;10660800;548200;130300
930;13947000;592100;249600;11201800;797900;208300
940;10617800;535900;234200;10082900;560000;129000
950;11653700;539700;236800;11386300;946100;206000
960;12780800;658300;302800;10221400;589400;135400
970;11428700;576400;245100;10464700;579400;132900
980;11007900;561100;245400;10466500;586400;136200
990;10629600;568700;250400;10684300;592000;135300
1000;10785000;573200;248300;11345700;713600;137000
