Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1458700    	47000    	23100      	1235700              	48700        	15300
200   	2015500    	86000    	41400      	3128800              	155200        	43100
300   	3597100    	140200    	64700      	3212800              	145500        	38700
400   	6199200    	199000    	88200      	4081000              	205100        	51500
500   	5177900    	254900    	114200      	5888400              	269700        	64900
600   	6306300    	313300    	139400      	8630300              	410900        	105300
700   	7370200    	378100    	168600      	9354800              	494300        	119000
800   	9352700    	551600    	239100      	10173900              	579700        	133900
900   	14467600    	878800    	505200      	14828000              	704900        	153000
1000   	10784100    	567500    	250900      	13043300              	594200        	134700
1100   	18827700    	1348500    	577900      	21884500              	1081200        	233700
1200   	18483500    	769700    	347400      	17343600              	796900        	180800
1300   	19337000    	1036500    	439200      	20939200              	1162000        	264900
1400   	24453700    	1149700    	502900      	20282500              	1123300        	252900
1500   	20233800    	1192900    	537400      	19835400              	957500        	210400
1600   	21007800    	1167300    	515400      	25185900              	1573500        	548400
1700   	27538100    	1842300    	708000      	27099500              	1337900        	359800
1800   	28951600    	2368600    	919100      	22023100              	1170600        	254100
1900   	35102700    	1367500    	506300      	21167400              	1237400        	267400
2000   	23424800    	2667600    	1019700      	31565800              	1376600        	295200
2100   	35316600    	3255700    	1400000      	32910800              	1389200        	296500
2200   	29579200    	1426700    	590000      	33832700              	2947900        	812100
2300   	35054900    	1492600    	619400      	36023400              	2444900        	513900
2400   	51359300    	1589300    	660200      	31299900              	2036500        	438600
2500   	36196500    	1622600    	679700      	31908300              	1718100        	364900
2600   	31076600    	1980300    	826400      	32458500              	2120100        	521400
2700   	34502700    	1789000    	734700      	36035800              	1953800        	397200
2800   	36287900    	1861100    	763000      	35046500              	1933900        	411600
2900   	37876800    	3660600    	1632100      	44104100              	2589600        	532400
3000   	38320600    	3038200    	843000      	52773400              	2091300        	444500
3100   	36355600    	2109800    	880100      	53912700              	4886000        	1022300
3200   	53400500    	2422900    	939500      	55030200              	4602400        	485600
3300   	48567600    	4264900    	1376800      	44155200              	3351000        	484400
3400   	42566600    	2435100    	943100      	52615000              	3016000        	622800
3500   	66551400    	2426800    	982200      	59037900              	3218400        	670500
3600   	47120700    	2765300    	1097200      	78727200              	2785300        	564400
3700   	54410200    	3231300    	1696700      	42683200              	5100800        	740100
3800   	69001300    	3424200    	1402300      	49209500              	3302800        	574500
3900   	52426700    	3558200    	1647800      	47906000              	2818600        	571900
4000   	68923400    	3085800    	1231000      	55464200              	3767000        	604800
4100   	84773900    	3485600    	1416700      	76581700              	7163300        	1407800
4200   	61965700    	2951900    	1219300      	55988900              	7680200        	1138000
4300   	91100200    	5385500    	2034000      	60910100              	4809100        	1276500
4400   	71685400    	5507600    	2204700      	59212700              	3226900        	762000
4500   	75718700    	5527200    	2260000      	74834800              	3387000        	692600
4600   	54126900    	3254800    	1324800      	79940900              	3559000        	764500
4700   	71250000    	4879200    	3385500      	74090300              	5323900        	1062300
4800   	73574600    	3414600    	1550400      	83680100              	9090900        	1326900
4900   	66973000    	4628000    	2255800      	71002100              	4582600        	754200
5000   	61598500    	7158300    	3088600      	72662000              	4415900        	771500
5100   	84034500    	6370900    	2216200      	91631400              	7365700        	778400
5200   	69535700    	4009800    	1535400      	90556100              	4982000        	1213800
5300   	95031500    	6766800    	2075000      	96960000              	4510500        	943100
5400   	89006600    	4931500    	2032800      	93019700              	5146000        	1040600
5500   	101907900    	6831200    	2877300      	93422700              	6027000        	1334800
5600   	102652200    	5237600    	2059000      	81050400              	4282900        	863600
5700   	99349500    	4293700    	1698400      	86431900              	4341700        	888300
5800   	88180500    	8439000    	3406200      	89875100              	4693000        	946200
5900   	91978900    	4346800    	1744100      	77490000              	4717600        	1130800
6000   	92625700    	7703800    	3816100      	77378000              	4589700        	918800
6100   	86346200    	5014400    	1953300      	81279700              	5689500        	956200
6200   	102214000    	8248200    	3406500      	89809300              	8277800        	2174500
6300   	104024400    	5389900    	1892000      	102680700              	9728100        	1432200
6400   	99900500    	8346400    	2030500      	107626400              	5131300        	1017000
6500   	88025900    	6177800    	2427100      	90502900              	7447900        	1259200
6600   	96304300    	6203500    	1983100      	91101300              	7907200        	1780100
6700   	96458200    	4989700    	1995500      	100077000              	5557800        	1034900
6800   	108685900    	6919100    	2775700      	102112300              	7417700        	1578500
6900   	101680000    	6778300    	2581900      	94843500              	10512700        	1604300
7000   	103351800    	9130900    	2628900      	101428400              	7773000        	1624100
7100   	109139000    	6158500    	2651500      	105485700              	10510700        	1714400
7200   	107430200    	6223600    	2696800      	96008100              	6791900        	1349000
7300   	101362900    	5579800    	2199700      	113703400              	7740600        	1432100
7400   	107462800    	6609600    	2881200      	148954100              	6663500        	1244100
7500   	103974500    	5773300    	2278700      	113377200              	9928600        	2257900
7600   	113634200    	7616500    	2908700      	105819700              	7679400        	1425800
7700   	108306900    	8462900    	3419800      	110617100              	10629800        	2094300
7800   	121425300    	8610900    	3902500      	121043100              	9326100        	1365400
7900   	110569000    	6061800    	2447100      	116448900              	6430600        	1351200
8000   	117844200    	6528000    	2455500      	107696100              	8747600        	1301500
8100   	133305300    	12779200    	2616200      	137478200              	6439300        	1877000
8200   	162874200    	6946200    	2496300      	154392700              	10845200        	2012400
8300   	123798100    	6518300    	3093800      	106191600              	7418000        	1297700
8400   	120756100    	7874600    	4857500      	131919400              	11495000        	1391100
8500   	133392200    	8834900    	2793200      	107389200              	10861200        	1812900
8600   	139897300    	7616700    	2851700      	127175200              	9611600        	2058700
8700   	148277600    	6787800    	2732700      	130947900              	7295900        	1369100
8800   	132064200    	10925600    	3118000      	142912600              	7923800        	1499400
8900   	161116400    	7218000    	2706300      	161916800              	11815600        	3380600
9000   	163108300    	12831600    	3282600      	123956300              	7176400        	1429300
9100   	145782500    	8403800    	4010900      	117156400              	10275500        	1765800
9200   	145259400    	11072600    	5714700      	150263600              	11442600        	2226000
9300   	162464600    	10118200    	3775600      	143529600              	13604400        	1674300
9400   	143045900    	10529100    	3624500      	147145800              	7982000        	1601000
9500   	158494400    	15050000    	3200300      	158941700              	16264400        	3697100
9600   	176143300    	10343900    	4721800      	151996200              	7828600        	1533100
9700   	187124000    	8091000    	3224100      	139018800              	9372500        	1549800
9800   	160556300    	13212900    	7031400      	137920500              	16467900        	3533700
9900   	155920600    	8719200    	5601600      	153457100              	17397300        	1607000
10000   	200826700    	9530100    	3373100      	150145100              	8095800        	1932300
